# wave, flux, fluxerr, csub, csuberr, spline_flux
5.242816925048828125e+00,7.572156861441155407e+00,2.445285941673150276e+00,4.870849763372440577e+00,2.445285941673150276e+00,2.701307098068714829e+00
5.273802280426025391e+00,7.945987725823361103e+00,2.462817580796512473e+00,4.857452581952058424e+00,2.462817580796512473e+00,3.088535143871302235e+00
5.304787635803222656e+00,7.638390313316324232e+00,2.280479279456343100e+00,4.189793725418140546e+00,2.280479279456343100e+00,3.448596587898183685e+00
5.335772991180419922e+00,5.627390827090165359e+00,1.995468117667928309e+00,1.844895604321917570e+00,1.995468117667928309e+00,3.782495222768247789e+00
5.366758346557617188e+00,6.104086244409366202e+00,1.902417048199394056e+00,2.012851403308980380e+00,1.902417048199394056e+00,4.091234841100385822e+00
5.397743701934814453e+00,7.010835953641448626e+00,1.906728474435940068e+00,2.635016718127968893e+00,1.906728474435940068e+00,4.375819235513479732e+00
5.428729057312011719e+00,4.408879790535420895e+00,1.839516911010443678e+00,-2.283724080910030096e-01,1.839516911010443678e+00,4.637252198626423905e+00
5.459714412689208984e+00,6.329744624145245524e+00,1.545264664072692806e+00,1.453207101087144792e+00,1.545264664072692806e+00,4.876537523058100732e+00
5.490699768066406250e+00,5.604226590867904534e+00,1.555770465549383808e+00,5.095475894405012696e-01,1.555770465549383808e+00,5.094679001427403264e+00
5.521685123443603516e+00,5.090327146632848354e+00,1.505237982779905614e+00,-2.023532797203753120e-01,1.505237982779905614e+00,5.292680426353223666e+00
5.552670478820800781e+00,5.479388872324266302e+00,1.531152581817060376e+00,7.843281869824636487e-03,1.531152581817060376e+00,5.471545590454441665e+00
5.583656311035156250e+00,5.599312633796582617e+00,1.584117788866884702e+00,-3.296799171293152142e-02,1.584117788866884702e+00,5.632280625509514138e+00
5.614641189575195312e+00,5.652817400186300745e+00,1.614748064909214076e+00,-1.230649064723419173e-01,1.614748064909214076e+00,5.775882306658642662e+00
5.645626544952392578e+00,6.939663755655574029e+00,1.605247067481345491e+00,1.036302311656173814e+00,1.605247067481345491e+00,5.903361443999400215e+00
5.676611900329589844e+00,5.438509366418965207e+00,1.580836176167468743e+00,-5.772101245721490415e-01,1.580836176167468743e+00,6.015719490991114249e+00
5.707597732543945312e+00,6.779070603739246081e+00,1.588272030189699535e+00,6.651089551272484357e-01,1.588272030189699535e+00,6.113961648611997646e+00
