# wave, flux, fluxerr, csub, csuberr, spline_flux
5.242816925048828125e+00,1.339330169334423060e+00,1.372060412837496024e+00,8.494083502802385333e-02,1.372060412837496024e+00,1.254389334306399206e+00
5.273802280426025391e+00,2.697113255245312313e+00,1.335782539612769826e+00,1.381316788467048751e+00,1.335782539612769826e+00,1.315796466778263563e+00
5.304787635803222656e+00,2.587902325998130859e+00,1.220484718160440352e+00,1.217856704357962006e+00,1.220484718160440352e+00,1.370045621640168854e+00
5.335772991180419922e+00,1.416264014163954643e+00,1.097770593247410442e+00,-1.171442067102290707e-03,1.097770593247410442e+00,1.417435456231056934e+00
5.366758346557617188e+00,2.585910585059983280e+00,1.037050871875924374e+00,1.127645957170112956e+00,1.037050871875924374e+00,1.458264627889870324e+00
5.397743701934814453e+00,2.242943033686598309e+00,1.074929590894307285e+00,7.501112397310445434e-01,1.074929590894307285e+00,1.492831793955553765e+00
5.428729057312011719e+00,1.071937270607167036e+00,1.023209300981673398e+00,-4.494983411598834078e-01,1.023209300981673398e+00,1.521435611767050444e+00
5.459714412689208984e+00,1.183929013455451873e+00,9.324936945959712009e-01,-3.604457252078507867e-01,9.324936945959712009e-01,1.544374738663302660e+00
5.490699768066406250e+00,2.004020649451812464e+00,8.442815206176325082e-01,4.420728174685586431e-01,8.442815206176325082e-01,1.561947831983253820e+00
5.521685123443603516e+00,1.630773974019313677e+00,7.715113888765068317e-01,5.632042495346589739e-02,7.715113888765068317e-01,1.574453549065847779e+00
5.552670478820800781e+00,1.925126503362831087e+00,7.835427106941755815e-01,3.429359561128042522e-01,7.835427106941755815e-01,1.582190547250026835e+00
5.583656311035156250e+00,1.430296273835423015e+00,8.027182840049592594e-01,-1.551612274509570621e-01,8.027182840049592594e-01,1.585457501286380078e+00
5.614641189575195312e+00,2.306904921549144394e+00,7.983979351435418481e-01,7.223519052702305210e-01,7.983979351435418481e-01,1.584553016278913873e+00
5.645626544952392578e+00,1.436124437734329629e+00,7.739565682207812936e-01,-1.436513640671783776e-01,7.739565682207812936e-01,1.579775801801508006e+00
5.676611900329589844e+00,5.357409671536127460e-01,7.713046229648218288e-01,-1.035683530627847571e+00,7.713046229648218288e-01,1.571424497781460428e+00
5.707597732543945312e+00,1.072042692662017682e+00,7.700685991227050886e-01,-4.877548662992030604e-01,7.700685991227050886e-01,1.559797558961220743e+00
5.738582611083984375e+00,1.352752719313368379e+00,8.109647583839095786e-01,-1.924415311558451691e-01,8.109647583839095786e-01,1.545194250469213548e+00
5.769568443298339844e+00,1.209014595424670491e+00,8.567326301706617020e-01,-3.188977414060953919e-01,8.567326301706617020e-01,1.527912336830765883e+00
5.800553321838378906e+00,1.374606357166540782e+00,8.906036615630549269e-01,-1.336451758871766149e-01,8.906036615630549269e-01,1.508251533053717397e+00
5.831539154052734375e+00,2.347129954423856635e+00,9.432938396907749601e-01,8.606206620867344892e-01,9.432938396907749601e-01,1.486509292337122146e+00
5.862524509429931641e+00,1.911126734776161573e+00,9.985323395066122432e-01,4.481415047246990468e-01,9.985323395066122432e-01,1.462985230051462526e+00
5.893509864807128906e+00,1.652733151786682342e+00,1.043602415809942396e+00,2.147554675948473157e-01,1.043602415809942396e+00,1.437977684191835026e+00
5.924495220184326172e+00,1.647313418714250632e+00,1.110219457088443162e+00,2.355281066170678006e-01,1.110219457088443162e+00,1.411785312097182832e+00
5.955480575561523438e+00,2.308099791803376100e+00,1.166075367295339671e+00,9.233930206969267473e-01,1.166075367295339671e+00,1.384706771106449352e+00
5.986465930938720703e+00,2.269463645123617201e+00,1.148523764574081785e+00,9.124229265650394272e-01,1.148523764574081785e+00,1.357040718558577774e+00
6.017451286315917969e+00,2.679307269103528011e+00,1.112145876961508018e+00,1.350221457311016504e+00,1.112145876961508018e+00,1.329085811792511507e+00
6.048436641693115234e+00,2.034352516366598085e+00,1.055517361623788508e+00,7.332118082194050146e-01,1.055517361623788508e+00,1.301140708147193070e+00
6.079421997070312500e+00,8.644388142179905143e-01,1.045483841239075895e+00,-4.090652507435758034e-01,1.045483841239075895e+00,1.273504064961566318e+00
6.110407352447509766e+00,1.678016778857207791e+00,9.709100017446983255e-01,4.315422392826335773e-01,9.709100017446983255e-01,1.246474539574574214e+00
6.141392707824707031e+00,2.483235747998194576e+00,9.279806504021064217e-01,1.262884958673034852e+00,9.279806504021064217e-01,1.220350789325159724e+00
6.172378063201904297e+00,2.249950816037649126e+00,8.920553539608431226e-01,1.054519344485382648e+00,8.920553539608431226e-01,1.195431471552266478e+00
6.203363418579101562e+00,2.065825653412458607e+00,8.619328169107385307e-01,8.938104098176211654e-01,8.619328169107385307e-01,1.172015243594837441e+00
6.234348773956298828e+00,2.025375407706089703e+00,8.524860689891318177e-01,8.749746449142743465e-01,8.524860689891318177e-01,1.150400762791815357e+00
6.265334129333496094e+00,2.718667325778630683e+00,8.593632411626536127e-01,1.587780639296486385e+00,8.593632411626536127e-01,1.130886686482144299e+00
6.296319484710693359e+00,2.010613451663736395e+00,8.868457031487806397e-01,8.968417796589696067e-01,8.868457031487806397e-01,1.113771672004766788e+00
6.327304840087890625e+00,2.610523543489951859e+00,9.326891866229324313e-01,1.511169166791325402e+00,9.326891866229324313e-01,1.099354376698626456e+00
6.358290195465087891e+00,2.646269375930361711e+00,9.467313831255373957e-01,1.558335918027695888e+00,9.467313831255373957e-01,1.087933457902665824e+00
6.389275550842285156e+00,2.859959019352213971e+00,9.433470951466937926e-01,1.780151446396385007e+00,9.433470951466937926e-01,1.079807572955828965e+00
6.420260906219482422e+00,3.233269143960356029e+00,9.341993477366314913e-01,2.157993764763297850e+00,9.341993477366314913e-01,1.075275379197058179e+00
6.451246261596679688e+00,2.590856756596508603e+00,9.514800213463022738e-01,1.516221222631211285e+00,9.514800213463022738e-01,1.074635533965297318e+00
6.482231616973876953e+00,3.294634022884216584e+00,9.962690628340605814e-01,2.216447328284727014e+00,9.962690628340605814e-01,1.078186694599489570e+00
6.513216972351074219e+00,1.761770723513149006e+00,1.094053939893073313e+00,6.755432050745715511e-01,1.094053939893073313e+00,1.086227518438577455e+00
6.544202327728271484e+00,1.571721575420949035e+00,1.217367188685190227e+00,4.726649125994439871e-01,1.217367188685190227e+00,1.099056662821505048e+00
6.575187683105468750e+00,1.657086978289696200e+00,1.327665092785137668e+00,5.401141932024813297e-01,1.327665092785137668e+00,1.116972785087214870e+00
6.606173038482666016e+00,1.140274542574650329e+00,1.406688329376736046e+00,-2.220446049250313081e-16,1.406688329376736046e+00,1.140274542574650551e+00
6.637158393859863281e+00,1.251799399695443293e+00,1.403789436005152824e+00,8.265127573362973656e-02,1.403789436005152824e+00,1.169148123961813557e+00
6.668143749237060547e+00,2.445826717471719647e+00,1.396103967920862665e+00,1.242496874188775635e+00,1.396103967920862665e+00,1.203329843282944012e+00
6.699129104614257812e+00,3.386209256461061301e+00,1.357927345203029379e+00,2.143765710549723202e+00,1.357927345203029379e+00,1.242443545911338099e+00
6.730114459991455078e+00,2.315833567994718400e+00,1.323255797687855839e+00,1.029720490774423514e+00,1.323255797687855839e+00,1.286113077220294887e+00
6.761099815368652344e+00,1.578937647674292899e+00,1.321620919354346668e+00,2.449753650911818958e-01,1.321620919354346668e+00,1.333962282583111003e+00
6.792085170745849609e+00,1.738541361719116773e+00,1.312443817280329217e+00,3.529263543460319230e-01,1.312443817280329217e+00,1.385615007373084850e+00
6.823070526123046875e+00,2.517477154660311633e+00,1.289987820170543698e+00,1.076782057696797690e+00,1.289987820170543698e+00,1.440695096963513944e+00
6.854055881500244141e+00,3.024476794591834938e+00,1.256745187117192852e+00,1.525650397864138696e+00,1.256745187117192852e+00,1.498826396727696242e+00
6.885041236877441406e+00,2.201473044258953848e+00,1.234155890959610646e+00,6.418402922200245886e-01,1.234155890959610646e+00,1.559632752038929260e+00
6.916027069091796875e+00,2.682663067096630272e+00,1.234936436286421246e+00,1.059924071932464518e+00,1.234936436286421246e+00,1.622738995164165754e+00
6.947011947631835938e+00,3.033853992716623704e+00,1.267852318244269805e+00,1.346087981920885301e+00,1.267852318244269805e+00,1.687766010795738403e+00
6.977997779846191406e+00,1.739408722679238073e+00,1.297737772270735723e+00,-1.493291680358854734e-02,1.297737772270735723e+00,1.754341639482826620e+00
7.008982658386230469e+00,3.030490252335225509e+00,1.332644798729550439e+00,1.208404616114901575e+00,1.332644798729550439e+00,1.822085636220323934e+00
7.039968490600585938e+00,3.338043314962077179e+00,1.349336373960118740e+00,1.447417306154368255e+00,1.349336373960118740e+00,1.890626008807708924e+00
7.070953845977783203e+00,3.305396758035818561e+00,1.325665391788710235e+00,1.345813304255091269e+00,1.325665391788710235e+00,1.959583453780727291e+00
7.101939201354980469e+00,2.158116456836399077e+00,1.307649141963634465e+00,1.295335907112042939e-01,1.307649141963634465e+00,2.028582866125194784e+00
7.132924079895019531e+00,2.492338813170459133e+00,1.298428009660780091e+00,3.950917741521089432e-01,1.298428009660780091e+00,2.097247039018350190e+00
7.163909912109375000e+00,3.199904068987529993e+00,1.292788360606596854e+00,1.034701094565863233e+00,1.292788360606596854e+00,2.165202974421666759e+00
7.194895267486572266e+00,2.810029466973916534e+00,1.375815243295774870e+00,5.779581058536509275e-01,1.375815243295774870e+00,2.232071361120265607e+00
7.225880622863769531e+00,1.379302255846841296e+00,1.510945829633886683e+00,-9.181748408366636749e-01,1.510945829633886683e+00,2.297477096683504971e+00
7.256865978240966797e+00,2.682618256101626741e+00,1.656671541658702784e+00,3.215742296169450398e-01,1.656671541658702784e+00,2.361044026484681702e+00
7.287851333618164062e+00,2.169373608451448110e+00,1.787589315804386070e+00,-2.531249996725226659e-01,1.787589315804386070e+00,2.422498608123970776e+00
7.318836688995361328e+00,4.019818699187307942e+00,1.911754090463205769e+00,1.537840951078252694e+00,1.911754090463205769e+00,2.481977748109055248e+00
7.349822044372558594e+00,4.232764443111880936e+00,1.947609930240574938e+00,1.693043477937385521e+00,1.947609930240574938e+00,2.539720965174495415e+00
7.380807399749755859e+00,2.688585416649299287e+00,2.006868655550286817e+00,9.261763859444771541e-02,2.006868655550286817e+00,2.595967778054851571e+00
7.411792755126953125e+00,3.912635292745844762e+00,1.968357100928963987e+00,1.261677587261159417e+00,1.968357100928963987e+00,2.650957705484685345e+00
7.442778110504150391e+00,2.987875325623299716e+00,1.932969171286881949e+00,2.829450594247449047e-01,1.932969171286881949e+00,2.704930266198554811e+00
7.473763465881347656e+00,3.218094704168833697e+00,1.907642191797470632e+00,4.599697252378116552e-01,1.907642191797470632e+00,2.758124978931022042e+00
7.504748821258544922e+00,5.563832499771526940e+00,1.933572786589962123e+00,2.753051137354880051e+00,1.933572786589962123e+00,2.810781362416646889e+00
7.533705711364746094e+00,4.847815036773681641e+00,3.036881208419799805e+00,1.988099289190769614e+00,3.036881208419799805e+00,2.859715747582912027e+00
7.595799446105957031e+00,6.442972660064697266e+00,2.888320446014404297e+00,3.478293762728802641e+00,2.888320446014404297e+00,2.964678897335894625e+00
7.657893657684326172e+00,6.557269096374511719e+00,2.775780677795410156e+00,3.485999714845541497e+00,2.775780677795410156e+00,3.071269381528970221e+00
7.719987869262695312e+00,5.449998855590820312e+00,2.681760787963867188e+00,2.268584831411055269e+00,2.681760787963867188e+00,3.181414024179765043e+00
7.782082080841064453e+00,5.942062377929687500e+00,2.478718757629394531e+00,2.645021923890047422e+00,2.478718757629394531e+00,3.297040454039640078e+00
7.844176292419433594e+00,4.845285415649414062e+00,2.512864112854003906e+00,1.425209115789462633e+00,2.512864112854003906e+00,3.420076299859951430e+00
7.906270503997802734e+00,4.693142890930175781e+00,2.516122817993164062e+00,1.140693700538116584e+00,2.516122817993164062e+00,3.552449190392059197e+00
7.968364715576171875e+00,3.186744689941406250e+00,2.380546569824218750e+00,-5.093420644459154545e-01,2.380546569824218750e+00,3.696086754387321704e+00
8.030458450317382812e+00,3.973174571990966797e+00,2.233227729797363281e+00,1.202592113174008048e-01,2.233227729797363281e+00,3.852915360673565992e+00
8.092554092407226562e+00,4.381995201110839844e+00,2.165625095367431641e+00,3.571260164658305314e-01,2.165625095367431641e+00,4.024869184645009312e+00
8.154647827148437500e+00,4.227487087249755859e+00,2.102276802062988281e+00,1.462579851179501844e-02,2.102276802062988281e+00,4.212861288737960841e+00
8.216741561889648438e+00,3.877974510192871094e+00,1.992089271545410156e+00,-5.358297484162424240e-01,1.992089271545410156e+00,4.413804258609113518e+00
8.278836250305175781e+00,3.828732252120971680e+00,1.918810606002807617e+00,-7.948726496407054753e-01,1.918810606002807617e+00,4.623604901761677155e+00
8.340929985046386719e+00,5.552303314208984375e+00,1.754906535148620605e+00,7.141430545628937310e-01,1.754906535148620605e+00,4.838160259646090644e+00
8.403024673461914062e+00,4.128118991851806641e+00,1.688866257667541504e+00,-9.252613329211190063e-01,1.688866257667541504e+00,5.053380324772925647e+00
8.465118408203125000e+00,2.731979846954345703e+00,1.701352596282958984e+00,-2.533182125171102861e+00,1.701352596282958984e+00,5.265161972125448564e+00
8.527213096618652344e+00,5.547472953796386719e+00,1.691365003585815430e+00,7.805784478291144524e-02,1.691365003585815430e+00,5.469415109013475274e+00
8.589306831359863281e+00,6.231847286224365234e+00,1.660170912742614746e+00,5.698103389354098880e-01,1.660170912742614746e+00,5.662036947288955346e+00
8.651401519775390625e+00,5.838936805725097656e+00,1.644839525222778320e+00,-8.881784197001252323e-16,1.644839525222778320e+00,5.838936805725098544e+00
8.713495254516601562e+00,6.585161209106445312e+00,1.621591687202453613e+00,5.874054839554894158e-01,1.621591687202453613e+00,5.997755725150955897e+00
8.775589942932128906e+00,8.244383811950683594e+00,1.591231822967529297e+00,2.101266614379139419e+00,1.591231822967529297e+00,6.143117197571544175e+00
8.837684631347656250e+00,8.511883735656738281e+00,1.543995857238769531e+00,2.230503323810369309e+00,1.543995857238769531e+00,6.281380411846368972e+00
8.899778366088867188e+00,8.452349662780761719e+00,1.597598075866699219e+00,2.033444669876284472e+00,1.597598075866699219e+00,6.418904992904477247e+00
8.961872100830078125e+00,7.284337520599365234e+00,1.588844060897827148e+00,7.222829472143272866e-01,1.588844060897827148e+00,6.562054573385037948e+00
9.023966789245605469e+00,6.433303833007812500e+00,1.532956004142761230e+00,-2.838892984897336547e-01,1.532956004142761230e+00,6.717193131497546155e+00
9.086061477661132812e+00,7.889412403106689453e+00,1.538196802139282227e+00,9.987321109343154646e-01,1.538196802139282227e+00,6.890680292172373989e+00
9.148155212402343750e+00,9.771315574645996094e+00,1.585384368896484375e+00,2.682441021521599467e+00,1.585384368896484375e+00,7.088874553124396627e+00
9.210248947143554688e+00,9.727258682250976562e+00,1.588984847068786621e+00,2.409118789683542872e+00,1.588984847068786621e+00,7.318139892567433691e+00
9.272343635559082031e+00,7.849429130554199219e+00,1.559268951416015625e+00,2.645869329955257143e-01,1.559268951416015625e+00,7.584842197558673504e+00
9.334438323974609375e+00,7.895339965820312500e+00,1.646157979965209961e+00,-1.776356839400250465e-15,1.646157979965209961e+00,7.895339965820314276e+00
9.396532058715820312e+00,8.785232543945312500e+00,1.680800199508666992e+00,5.323799321096913673e-01,1.680800199508666992e+00,8.252852611835621133e+00
9.458625793457031250e+00,1.038041877746582031e+01,1.659361362457275391e+00,1.732354718485710876e+00,1.659361362457275391e+00,8.648064058980109436e+00
9.520720481872558594e+00,1.146304512023925781e+01,1.602473020553588867e+00,2.394521110846891787e+00,1.602473020553588867e+00,9.068524009392366025e+00
9.582815170288085938e+00,9.989295005798339844e+00,1.534084439277648926e+00,4.875258144970420204e-01,1.534084439277648926e+00,9.501769191301297823e+00
9.644908905029296875e+00,9.744050979614257812e+00,1.407813310623168945e+00,-1.912845678823984485e-01,1.407813310623168945e+00,9.935335547496656261e+00
9.707002639770507812e+00,1.201246643066406250e+01,1.302365660667419434e+00,1.655693650544028728e+00,1.302365660667419434e+00,1.035677278012003377e+01
9.769097328186035156e+00,1.283831977844238281e+01,1.313750505447387695e+00,2.084689932278793734e+00,1.313750505447387695e+00,1.075362984616358908e+01
9.831192016601562500e+00,1.229074096679687500e+01,1.296288013458251953e+00,1.177298278382668428e+00,1.296288013458251953e+00,1.111344268841420657e+01
9.893285751342773438e+00,1.096325016021728516e+01,1.298599481582641602e+00,-4.604993651909961017e-01,1.298599481582641602e+00,1.142374952540828126e+01
9.955380439758300781e+00,1.185651397705078125e+01,1.278618097305297852e+00,1.844113881803828292e-01,1.278618097305297852e+00,1.167210258887039842e+01
1.001747417449951172e+01,1.130113124847412109e+01,1.278196334838867188e+00,-5.501962760225858062e-01,1.278196334838867188e+00,1.185132752449670690e+01
1.007956886291503906e+01,1.234957504272460938e+01,1.333342194557189941e+00,3.741500964059216727e-01,1.333342194557189941e+00,1.197542494631868770e+01
