# wave, flux, fluxerr, csub, csuberr, spline_flux
5.242816925048828125e+00,1.621942663171381138e+00,1.840192514366577603e-01,2.627486433063757065e-01,1.840192514366577603e-01,1.359194019865005432e+00
5.273802280426025391e+00,2.338041486916881961e+00,1.512365484773084134e-01,8.141959963093252650e-01,1.512365484773084134e-01,1.523845490607556696e+00
5.304787635803222656e+00,2.650392515886833777e+00,1.566426632039976119e-01,9.733417935433970047e-01,1.566426632039976119e-01,1.677050722343436773e+00
5.335772991180419922e+00,2.822643695859754498e+00,1.626157352673202328e-01,1.003460271185029340e+00,1.626157352673202328e-01,1.819183424674725158e+00
5.366758346557617188e+00,3.611796051398323826e+00,1.825446189430630362e-01,1.661178744194823365e+00,1.825446189430630362e-01,1.950617307203500461e+00
5.397743701934814453e+00,4.057511871380595103e+00,1.908496091330450783e-01,1.985785791848752702e+00,1.908496091330450783e-01,2.071726079531842402e+00
5.428729057312011719e+00,4.981384252311459981e+00,2.444569842439400231e-01,2.798500801049633058e+00,2.444569842439400231e-01,2.182883451261826924e+00
5.459714412689208984e+00,2.686895853575664628e+00,1.929435323593115814e-01,4.024327215801286606e-01,1.929435323593115814e-01,2.284463131995535967e+00
5.490699768066406250e+00,2.994891313558494694e+00,1.740663485698933644e-01,6.180524822234461091e-01,1.740663485698933644e-01,2.376838831335048585e+00
5.521685123443603516e+00,2.400961615205607913e+00,1.356097005273770861e-01,-5.942264367683502968e-02,1.356097005273770861e-01,2.460384258882442943e+00
5.552670478820800781e+00,2.501291117898631899e+00,1.351158131590047273e-01,-3.418200634116486114e-02,1.351158131590047273e-01,2.535473124239796761e+00
5.583656311035156250e+00,2.822319529674492067e+00,1.670563351350488057e-01,2.198394217800103689e-01,1.670563351350488057e-01,2.602480107894481698e+00
5.614641189575195312e+00,2.493050749855948212e+00,1.339849845327584776e-01,-1.687252569367569954e-01,1.339849845327584776e-01,2.661776006792705207e+00
5.645626544952392578e+00,2.620654008985288996e+00,1.228894872907110997e-01,-9.308343420712672511e-02,1.228894872907110997e-01,2.713737443192415721e+00
5.676611900329589844e+00,2.705714479686699203e+00,1.108931880011825438e-01,-5.302267612370448191e-02,1.108931880011825438e-01,2.758737155810403685e+00
5.707597732543945312e+00,2.741199093158082079e+00,1.065281915717804784e-01,-5.595030343709517240e-02,1.065281915717804784e-01,2.797149396595177251e+00
5.738582611083984375e+00,3.167065946653357944e+00,1.086235807898193878e-01,3.377196985438333243e-01,1.086235807898193878e-01,2.829346248109524620e+00
5.769568443298339844e+00,3.128686691877688109e+00,1.218539800979159954e-01,2.729832822995144070e-01,1.218539800979159954e-01,2.855703409578173702e+00
5.800553321838378906e+00,3.227324463969090562e+00,1.097076826638511970e-01,3.507315034623919026e-01,1.097076826638511970e-01,2.876592960506698660e+00
5.831539154052734375e+00,2.874148599743253207e+00,1.192981725460795228e-01,-1.824130432852566486e-02,1.192981725460795228e-01,2.892389904071778872e+00
5.862524509429931641e+00,2.776147820636154506e+00,1.277121983877947675e-01,-1.273192852541029652e-01,1.277121983877947675e-01,2.903467105890257471e+00
5.893509864807128906e+00,2.789235241272026489e+00,1.284156246397059054e-01,-1.209633156205978111e-01,1.284156246397059054e-01,2.910198556892624300e+00
5.924495220184326172e+00,3.243225455973285598e+00,1.333020247408293335e-01,3.302674892923262995e-01,1.333020247408293335e-01,2.912957966680959299e+00
5.955480575561523438e+00,2.916339444934829217e+00,1.287410683182526328e-01,4.220400077487695967e-03,1.287410683182526328e-01,2.912119044857341521e+00
5.986465930938720703e+00,2.947987170113850031e+00,1.343256328530651744e-01,3.993166909000045450e-02,1.343256328530651744e-01,2.908055501023849576e+00
6.017451286315917969e+00,3.063770794927135999e+00,1.371264984376684704e-01,1.626297501445730376e-01,1.371264984376684704e-01,2.901141044782562961e+00
6.048436641693115234e+00,3.427424982675681520e+00,1.549817250102339117e-01,5.356755969401216788e-01,1.549817250102339117e-01,2.891749385735559841e+00
6.079421997070312500e+00,2.188941497954662196e+00,1.728357354644639021e-01,-6.913127355302579602e-01,1.728357354644639021e-01,2.880254233484920157e+00
6.110407352447509766e+00,2.712012037358091820e+00,1.644925527050456471e-01,-1.550172602746298089e-01,1.644925527050456471e-01,2.867029297632721629e+00
6.141392707824707031e+00,3.392337758145650195e+00,1.892635106980299908e-01,5.398894703646055504e-01,1.892635106980299908e-01,2.852448287781044645e+00
6.172378063201904297e+00,4.129991564865068909e+00,2.013754085349561962e-01,1.293106651333101542e+00,2.013754085349561962e-01,2.836884913531967367e+00
6.203363418579101562e+00,4.088470391660407266e+00,1.933161350197480088e-01,1.267757507172838416e+00,1.933161350197480088e-01,2.820712884487568850e+00
